sample, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
0, 0.105957, 0.063721, 1.099365, 0.099237, 8.091603, -0.511450
1, 0.109375, 0.056152, 1.107178, -1.946565, 8.099236, -0.328244
2, 0.108154, 0.056641, 1.104736, -3.908397, 6.832061, -0.030534
3, 0.106934, 0.063721, 1.089600, -2.847328, 7.320611, -0.167939
4, 0.107666, 0.067139, 1.096191, 1.366412, 7.809160, -0.763359
5, 0.111328, 0.062988, 1.111572, 0.709924, 7.961832, -0.679389
6, 0.108398, 0.062500, 1.124512, -3.854962, 7.343512, -0.083969
7, 0.107178, 0.065186, 1.095215, -4.412214, 7.374046, 0.030534
8, 0.106934, 0.062988, 1.098145, -1.900763, 7.877862, -0.389313
9, 0.106201, 0.055908, 1.102051, 0.465649, 7.748092, -0.580153
10, 0.111084, 0.057617, 1.120117, -0.595420, 7.625954, -0.374046
11, 0.107910, 0.059326, 1.113037, -3.007634, 7.786260, 0.152672
12, 0.110596, 0.056152, 1.101807, -3.007634, 7.709924, -0.290076
13, 0.105469, 0.062256, 1.095459, -2.511450, 7.458015, -0.366412
14, 0.105225, 0.075684, 1.094238, 0.129771, 8.145039, -0.580153
15, 0.110107, 0.062256, 1.098145, -0.885496, 8.580153, -0.427481
16, 0.109619, 0.053955, 1.107422, -1.045802, 8.015267, -0.511450
17, 0.107910, 0.055908, 1.110596, -2.076336, 7.374046, -0.335878
18, 0.104004, 0.066162, 1.104736, -2.549618, 7.282443, -0.198473
19, 0.110840, 0.058594, 1.105713, -1.435115, 7.603054, -0.083969
20, 0.105713, 0.066162, 1.110107, -2.511450, 7.587786, -0.122137
21, 0.105957, 0.067871, 1.098633, -3.267176, 8.633588, -0.488550
22, 0.110352, 0.066650, 1.103516, -0.137405, 8.778625, -0.442748
23, 0.105469, 0.056641, 1.108887, 1.251908, 7.801527, -0.610687
24, 0.110596, 0.062256, 1.120117, 0.038168, 7.916030, -0.267176
25, 0.111084, 0.065186, 1.108887, -3.954198, 7.916030, -0.083969
26, 0.099854, 0.058838, 1.102051, -4.877862, 7.404580, 0.129771
27, 0.103760, 0.059082, 1.135254, -3.167939, 8.015267, -0.297710
28, 0.114502, 0.064209, 1.108398, -6.290076, 6.862596, 0.335878
29, 0.104980, 0.062744, 1.098389, -3.809160, 7.473282, -0.145038
30, 0.104736, 0.072266, 1.085449, -2.603053, 8.129771, -0.412214
31, 0.111084, 0.059082, 1.087402, -0.229008, 8.198473, -0.709924
32, 0.105469, 0.078857, 1.120605, 2.694656, 8.480916, -0.877863
33, 0.101807, 0.066162, 1.096680, 3.564885, 8.251908, -0.832061
34, 0.033936, -0.096680, 1.092529, -3.435115, 18.022902, 4.122138
35, -0.011963, -0.002686, 1.145020, -7.412214, 6.442748, 32.335876
36, 0.067383, 0.085938, 1.066406, 41.641220, -9.007633, 1.366412
37, 0.082031, 0.303467, 1.161377, 58.473282, -38.114502, 19.603054
38, 0.010742, 0.040039, 1.109131, -28.381680, 14.381680, 1.412214
39, 0.084229, -0.151123, 1.123779, -43.053436, -3.839695, -49.137405
40, 0.170410, 0.293945, 1.034424, 14.946565, 6.748092, -29.671755
41, -0.011230, -0.368896, 1.169678, -2.160305, 5.709924, -41.618320
42, 0.305908, -0.005371, 1.011230, 83.847328, 13.816793, -6.526718
43, 0.376465, -0.039795, 1.005127, 35.549618, -4.709924, -1.076336
44, 0.075684, -0.007324, 0.946289, -70.305344, 62.122139, 47.503819
45, 0.293701, -0.241211, 1.471924, -73.946564, 101.389313, -18.816793
46, -0.166992, -0.254883, 1.221680, -120.587784, 213.633591, -6.557252
47, -0.583496, -0.236328, 0.672607, -120.992363, 250.129776, -2.725191
48, -0.788818, -0.311768, -0.268311, 60.000000, -32.793892, -39.679390
49, -0.813965, -0.207031, 1.072510, 149.526718, -250.137405, -59.496181
50, -0.272217, -0.181641, 1.770752, -31.854961, 83.564888, 38.427483
51, -0.542480, -0.200439, 0.906006, -178.618317, 250.129776, 59.603054
52, -0.667480, -0.098145, -0.813232, 142.763351, -104.824425, -71.763359
53, -0.296387, -0.391602, 1.155518, 250.129776, -250.137405, -118.687019
54, -0.127197, -0.453369, 1.754639, -96.404579, 74.374046, 28.442749
55, -0.448730, -0.384277, 0.613770, -234.236649, 250.129776, 84.625954
56, -0.673584, 0.066650, -0.552246, 58.870228, -87.167938, -38.076336
57, -0.164551, -0.433105, 1.494141, 190.679382, -245.076340, -17.977098
58, -0.135742, -0.423340, 1.390625, -138.022903, 168.625961, 43.511452
59, -0.561523, -0.275879, -0.054932, -189.167938, 250.129776, 60.305344
60, -0.236328, -0.474121, 0.452881, 249.305344, -212.137405, -45.015266
61, -0.195068, -0.392822, 1.999939, 4.374046, 22.755726, 16.732824
62, -0.655762, -0.426025, 0.535156, -137.076340, 200.519089, 35.839695
63, -0.752197, -0.410156, 0.364014, 56.541985, -53.923664, -10.564885
64, -0.572510, -0.450684, 0.945557, 51.709923, -38.053436, -4.015267
65, -0.475830, -0.316406, 0.795166, -8.480916, 21.572519, 2.778626
66, -0.567871, -0.467285, 0.748535, 0.931298, 16.572519, -0.534351
67, -0.561523, -0.479248, 0.899414, 6.030534, 0.496183, 2.274809
68, -0.559814, -0.353271, 0.892334, 11.458015, 20.946566, 12.671756
69, -0.553955, -0.337158, 0.764648, -12.809160, 36.030533, 7.328244
70, -0.657715, -0.344727, 0.747314, -7.396946, 30.450382, 10.221375
71, -0.692627, -0.333252, 0.747070, 11.625955, 20.931297, 11.618320
72, -0.686523, -0.325928, 0.705322, -15.343512, -1.251908, -25.564886
73, -0.761963, -0.318848, 0.972900, -30.938931, -13.534351, -26.519083
74, -0.698486, -0.323730, 0.738525, -26.175573, -24.442749, -13.648855
75, -0.447998, -0.218994, 0.690918, -23.022902, -51.755726, -4.427481
76, -0.442139, -0.223145, 0.685547, -22.572519, -16.267176, 35.442749
77, -0.540039, -0.480225, 0.320068, 36.175571, -107.679390, 26.106871
